PlaceName,latitude,longitude
Red Fort Red Fort Fort Lal Qila Mughal Fort Red Fort  Delhi,28.65519,77.24041
Rāya Raya Raja Raya Rāya Рая,27.55607,77.78972
Rauni Rauni Rauni,30.59692,76.08939
Ratia Ratia Ratia Ратиа,29.69029,75.57688
Rāthdhana Rathdhana RDDE Rathdhana Rathdhana Railroad Station Rāthdhana Rāthdhana Railroad Station,28.90337,77.06068
Rasūlpur Rohta Rasulpur Rohta ,29.03568,77.54697
Rasuiya Rasuiya Rasniya Rasuiya Rasuiya Railroad Station,28.26538,79.47366
Rāpri Rapri ,26.95703,78.58608
Rāoli Raoli ,27.70439,76.93367
Rānisar Ranisar ,28.95209,74.60872
Rānī Pokhrī Rani Pokhri Rani Pokhri Rāni Pokhri Rānī Pokhrī,30.18387,78.21444
Rānīkund Rārah Railroad Station Ranikund Rarah Railroad Station RKR Ranikund Rara Ranikund Rarah Ranikund Rarah Railroad Station Ranikund Rāra Rānīkund Rārah Rānīkund Rārah Railroad Station,27.32424,77.55819
Rānia Rania Rania Ranija Raniya Rānia Рания,29.52454,74.83689
Rāmtīrath Jaga Ramtirath Jaga Ram Tirak Jaga Ram Tirath Jaga Ramtirath Jaga Rām Tirak Jāga Rām Tirāth Jāga Rāmtīrath Jaga,29.95174,75.15576
Rāmsarātāl Ramsaratal Ramsaratal Ramsira Rāmsarātāl Rāmsira,28.9255,75.3987
Rāmsinghpura Ramsinghpura ,27.1799,76.47163
Rāmsara Ramsara ,29.28322,75.30017
Rām Sāgar Ram Sagar ,26.59044,77.59099
Rāmpura Rampura ,28.96834,79.40083
Rāmpura Rampura ,28.51905,75.64239
Rāmpur Rampur ,29.8062,77.45251
Rāmpur Rampur Rampur Rāmpur,28.81014,79.02699
Rāmpur Rampur ,27.63232,76.41573
Rāmpur Rampur RMP Rampur Rāmpur,29,79
Rāmnagar Fort Ramnagar Fort Ahichchhatra Ahichhattra Ahīchhattra Ramnagar Fort Rāmnagar Fort,28.37258,79.13378
Rāmnagar Ramnagar Ramnagar Rāmnagar,29.3925,79.1283
Rāmnagar Ramnagar ,28.36567,79.12113
Rāmghāt Ramghat ,28.14902,78.43444
Rāmgarh Ramgarh ,30.64866,76.88901
Rāmgarh Ramgarh Ramgarh Rāmgarh,28.17096,74.97973
Rāmgarh Ramgarh ,27.58682,76.81354
Rāmgarh Ramgarh Ramgarh Rāmgarh,27.25097,75.17893
Rāmgarh Ramgarh ,26.62262,76.26024
Rambha Rambha ,29.79361,76.98392
Ralla Ralla Ralla,30.12005,75.43284
Rāl Ral ,27.55826,77.56114
Rājpura Rajpura Kajpura Rajpura Rājpura,30.47856,76.59284
Rājpura Rajpura Rajpura Rājpura,28.53707,75.14064
Rājpura Rajpura ,28.34008,78.39041
Rājpur Rajpur ,30.3923,78.09535
Rājo Māzra Rajo Mazra ,30.37357,75.79802
Rājghāt Naraura Rajghat Naraura Rajghat Naraura Rajghat Narora Rājghāt Naraura,28.25,78.35
Rāj Ghāt Raj Ghat Raj Ghat Rāj Ghāt,28.64078,77.24976
Rājgarh Rajgarh Sadulpur rajagarha राजगढ़,28.64201,75.38612
Rājgarh Rajgarh Rajgarh Rājgarh,27.23731,76.62243
Rājwās Rajwas Rajawas Rajwas Rājawas Rājwās,28.56421,74.72485
Rājaund Rajaund ,29.57758,76.48747
Rājākhera Rajakhera Rajakhera Rājākhera,26.89802,78.171
Rāja ka Sahaspur Raja ka Sahaspur ,28.65,78.78333
Rajabpur Rajabpur ,28.83737,78.37461
Rāīwāla Bara Raiwala Bara Raiwala Raiwala Bara Rāiwāla Rāiwāla Bara Rāīwāla Bara,30.01864,78.2293
Rāit Rait Rait Rāit,27.96392,77.95419
Rāisi Raisi RSI Raisi Raisi Railroad Station Rāisi Rāisi Railroad Station,29.69441,78.06782
